VendorNumber,VendorName,Brand,Description,PurchasePrice,ActualPrice,Volume,TotalPurchaseQuantity,TotalPurchaseDollars,TotalSalesQuantity,TotalSalesDollars,TotalSalesPrice,TotalExciseTax,FreightCost,GrossProfit,ProfitMargin,StockTurnover,SalesToPurchaseRatio
9552,M S WALKER INC,18668,G Bertrand T Jeffrsn Cremant,8.78,18.99,750.0,2,17.56,23.0,298.77000000000004,155.88,2.56,55551.81999999999,281.21000000000004,94.12256920038826,11.5,17.01423690205012
2000,SOUTHERN WINE & SPIRITS NE,41787,Ferrari-Carano Cab Svgn Alex,21.08,30.99,750.0,1526,32168.079999999933,1442.0,43278.58000000016,28322.58000000056,159.7700000000014,19016.59,11110.500000000222,25.672053010981838,0.944954128440367,1.3453889694380343
9552,M S WALKER INC,19215,Dom Vacheron Sancerre Blanc,18.79,27.99,750.0,1789,33615.30999999997,1656.0,46821.44000000007,27072.430000000502,183.81000000000216,55551.81999999999,13206.1300000001,28.20530509100121,0.9256567915036332,1.392860574541782
1392,CONSTELLATION BRANDS INC,10576,Diseno Malbec Mendoza,6.49,9.99,750.0,1184,7684.160000000006,1187.0,12328.12999999988,6515.709999999907,132.0800000000001,79528.99,4643.969999999873,37.66970335322485,1.0025337837837838,1.6043562341231663
9165,ULTRA BEVERAGE COMPANY LLP,18278,Cecchi Nobile Montepulciano,16.1,24.99,750.0,289,4652.9,300.0,7201.999999999975,4586.089999999977,33.25999999999994,68054.70000000003,2549.099999999975,35.394334906970066,1.038062283737024,1.547851877323814
4425,MARTIGNETTI COMPANIES,18642,Yellow Tail Pink Moscato,5.81,9.99,1500.0,6866,39891.46000000031,6784.0,66912.71999999858,33255.240000001344,1518.0100000000582,144929.24,27021.259999998263,40.382844995688174,0.9880570929216428,1.6773695422528545
10754,PERFECTA WINES,27157,Ch Graves Rabion St Emilion,9.99,14.99,750.0,1044,10429.56,445.0,6670.549999999964,3687.539999999977,49.40999999999992,28720.52,-3759.010000000036,-56.35232477082184,0.4262452107279693,0.6395811520332558
11567,CAMPARI AMERICA,8187,Wild Turkey,13.17,18.99,750.0,5505,72500.85000000005,5479.0,105353.21000000436,83887.3400000027,4320.1399999999285,20964.81,32852.36000000432,31.18306504377319,0.9952770208901,1.4531306874333791
480,BACARDI USA INC,4227,Bacardi Superior Rum Trav,14.17,17.99,1750.0,68294,967725.9800000011,75147.0,1323223.529999905,177578.64999999318,138074.08999999802,89286.26999999999,355497.5499999038,26.866023913580893,1.100345564764108,1.3673535250132516
1392,CONSTELLATION BRANDS INC,38406,Simi Landslide Cab Svgn Alex,15.68,23.99,750.0,1177,18455.36000000001,1233.0,31656.67000000025,18084.94999999999,137.01000000000025,79528.99,13201.31000000023,41.70151187727619,1.0475785896346643,1.7153103488634316
10754,PERFECTA WINES,27269,Krupps Bros Synchrony,83.86,129.99,750.0,12,1006.32,0.0,0.0,0.0,0.0,28720.52,-1006.32,-inf,0.0,0.0
4425,MARTIGNETTI COMPANIES,44943,Sanford Santa Barbara Chard,10.45,15.99,750.0,3931,41078.95000000011,5038.0,80557.62000000135,36777.00000000094,561.4600000000189,144929.24,39478.67000000124,49.0067482132672,1.2816077334011702,1.9610437949363635
